"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2008","2008","YR","Years","0","Units",,,30.6,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2009","2009","YR","Years","0","Units",,,30.7,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2010","2010","YR","Years","0","Units",,,30.7,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2011","2011","YR","Years","0","Units",,,30.8,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2012","2012","YR","Years","0","Units",,,30.9,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2013","2013","YR","Years","0","Units",,,30.9,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2014","2014","YR","Years","0","Units",,,31,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2015","2015","YR","Years","0","Units",,,31,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2016","2016","YR","Years","0","Units",,,31.1,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2017","2017","YR","Years","0","Units",,,31.1,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","1990","1990","YR","Years","0","Units",,,28.9,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","1991","1991","YR","Years","0","Units",,,28.9,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","1992","1992","YR","Years","0","Units",,,28.9,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","1993","1993","YR","Years","0","Units",,,29,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","1994","1994","YR","Years","0","Units",,,29.1,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","1995","1995","YR","Years","0","Units",,,29.3,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","1996","1996","YR","Years","0","Units",,,29.3,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","1997","1997","YR","Years","0","Units",,,29.4,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","1998","1998","YR","Years","0","Units",,,29.5,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","1999","1999","YR","Years","0","Units",,,29.6,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2000","2000","YR","Years","0","Units",,,29.6,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2001","2001","YR","Years","0","Units",,,29.6,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2002","2002","YR","Years","0","Units",,,29.7,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2003","2003","YR","Years","0","Units",,,29.8,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2004","2004","YR","Years","0","Units",,,29.9,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2005","2005","YR","Years","0","Units",,,29.9,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2006","2006","YR","Years","0","Units",,,30,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2007","2007","YR","Years","0","Units",,,30,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2008","2008","YR","Years","0","Units",,,30.1,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2009","2009","YR","Years","0","Units",,,30.1,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2010","2010","YR","Years","0","Units",,,30.2,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2011","2011","YR","Years","0","Units",,,30.3,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2012","2012","YR","Years","0","Units",,,30.4,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2013","2013","YR","Years","0","Units",,,30.5,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2014","2014","YR","Years","0","Units",,,30.5,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2015","2015","YR","Years","0","Units",,,30.6,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2016","2016","YR","Years","0","Units",,,30.8,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2017","2017","YR","Years","0","Units",,,30.9,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","1990","1990","PC","Percentage","0","Units",,,16.9,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","1991","1991","PC","Percentage","0","Units",,,18.4,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","1992","1992","PC","Percentage","0","Units",,,19.6,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","1993","1993","PC","Percentage","0","Units",,,23,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","1994","1994","PC","Percentage","0","Units",,,26.4,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","1995","1995","PC","Percentage","0","Units",,,29.9,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","1996","1996","PC","Percentage","0","Units",,,33.1,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","1997","1997","PC","Percentage","0","Units",,,34.8,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","1998","1998","PC","Percentage","0","Units",,,37.1,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","1999","1999","PC","Percentage","0","Units",,,39.1,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2000","2000","PC","Percentage","0","Units",,,40.4,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2001","2001","PC","Percentage","0","Units",,,42.1,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2002","2002","PC","Percentage","0","Units",,,43.1,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2003","2003","PC","Percentage","0","Units",,,44.3,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2004","2004","PC","Percentage","0","Units",,,45.3,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2005","2005","PC","Percentage","0","Units",,,44.7,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2006","2006","PC","Percentage","0","Units",,,43.8,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2007","2007","PC","Percentage","0","Units",,,43.2,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2008","2008","PC","Percentage","0","Units",,,43.2,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2009","2009","PC","Percentage","0","Units",,,43.5,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2010","2010","PC","Percentage","0","Units",,,44.4,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2011","2011","PC","Percentage","0","Units",,,44.6,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2012","2012","PC","Percentage","0","Units",,,45,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2013","2013","PC","Percentage","0","Units",,,44.6,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2014","2014","PC","Percentage","0","Units",,,44,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2015","2015","PC","Percentage","0","Units",,,41.5,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2016","2016","PC","Percentage","0","Units",,,40.9,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2017","2017","PC","Percentage","0","Units",,,40.4,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2018","2018","PC","Percentage","0","Units",,,39.5,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2003","2003","PC","Percentage","0","Units",,,0.7,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2004","2004","PC","Percentage","0","Units",,,0.5,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2005","2005","PC","Percentage","0","Units",,,0.5,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2006","2006","PC","Percentage","0","Units",,,0.7,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2007","2007","PC","Percentage","0","Units",,,1,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2008","2008","PC","Percentage","0","Units",,,0.8,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2009","2009","PC","Percentage","0","Units",,,0.5,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2010","2010","PC","Percentage","0","Units",,,1,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2011","2011","PC","Percentage","0","Units",,,0.8,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2012","2012","PC","Percentage","0","Units",,,0.4,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2013","2013","PC","Percentage","0","Units",,,0.4,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2014","2014","PC","Percentage","0","Units",,,0.4,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2015","2015","PC","Percentage","0","Units",,,0.3,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2016","2016","PC","Percentage","0","Units",,,0.5,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2017","2017","PC","Percentage","0","Units",,,0.5,,
"GRC","Greece","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2018","2018","PC","Percentage","0","Units",,,0.5,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1990","1990","CHLD","Children","0","Units",,,4,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1991","1991","CHLD","Children","0","Units",,,3.8,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1992","1992","CHLD","Children","0","Units",,,3.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1993","1993","CHLD","Children","0","Units",,,3.4,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1994","1994","CHLD","Children","0","Units",,,3.3,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1995","1995","CHLD","Children","0","Units",,,3.1,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1996","1996","CHLD","Children","0","Units",,,3,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1997","1997","CHLD","Children","0","Units",,,2.9,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1998","1998","CHLD","Children","0","Units",,,2.8,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1999","1999","CHLD","Children","0","Units",,,2.8,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2000","2000","CHLD","Children","0","Units",,,2.7,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2001","2001","CHLD","Children","0","Units",,,2.7,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2002","2002","CHLD","Children","0","Units",,,2.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2003","2003","CHLD","Children","0","Units",,,2.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2004","2004","CHLD","Children","0","Units",,,2.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2005","2005","CHLD","Children","0","Units",,,2.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2006","2006","CHLD","Children","0","Units",,,2.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2007","2007","CHLD","Children","0","Units",,,2.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2008","2008","CHLD","Children","0","Units",,,2.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2009","2009","CHLD","Children","0","Units",,,2.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2010","2010","CHLD","Children","0","Units",,,2.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2011","2011","CHLD","Children","0","Units",,,2.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2012","2012","CHLD","Children","0","Units",,,2.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2013","2013","CHLD","Children","0","Units",,,2.5,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2014","2014","CHLD","Children","0","Units",,,2.5,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2015","2015","CHLD","Children","0","Units",,,2.5,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2016","2016","CHLD","Children","0","Units",,,2.5,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2017","2017","CHLD","Children","0","Units",,,2.4,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","2018","2018","CHLD","Children","0","Units",,,2.4,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2005","2005","PC","Percentage","0","Units",,,1.2,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2006","2006","PC","Percentage","0","Units",,,1.4,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2007","2007","PC","Percentage","0","Units",,,1.9,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2008","2008","PC","Percentage","0","Units",,,2.9,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2009","2009","PC","Percentage","0","Units",,,2.8,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2010","2010","PC","Percentage","0","Units",,,2.8,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2011","2011","PC","Percentage","0","Units",,,2.2,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2012","2012","PC","Percentage","0","Units",,,1.7,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2013","2013","PC","Percentage","0","Units",,,2,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2014","2014","PC","Percentage","0","Units",,,2.4,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2015","2015","PC","Percentage","0","Units",,,2.5,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2016","2016","PC","Percentage","0","Units",,,1.3,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2017","2017","PC","Percentage","0","Units",,,1.4,,
"LTU","Lithuania","TOTAL","Total","FAM5C","Proportion (%) of children (aged 0-17) living in 'other' types of household","2018","2018","PC","Percentage","0","Units",,,1,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","1990","1990","YR","Years","0","Units",,,27.7,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","1991","1991","YR","Years","0","Units",,,27.7,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","1992","1992","YR","Years","0","Units",,,27.8,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","1993","1993","YR","Years","0","Units",,,28,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","1994","1994","YR","Years","0","Units",,,28.1,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","1995","1995","YR","Years","0","Units",,,28.2,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","1996","1996","YR","Years","0","Units",,,28.2,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","1997","1997","YR","Years","0","Units",,,28.3,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","1998","1998","YR","Years","0","Units",,,28.4,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","1999","1999","YR","Years","0","Units",,,28.4,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2000","2000","YR","Years","0","Units",,,28.5,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2001","2001","YR","Years","0","Units",,,28.6,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2002","2002","YR","Years","0","Units",,,28.7,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2003","2003","YR","Years","0","Units",,,28.9,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2004","2004","YR","Years","0","Units",,,29,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2005","2005","YR","Years","0","Units",,,29.1,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2006","2006","YR","Years","0","Units",,,29.2,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2007","2007","YR","Years","0","Units",,,29.3,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2008","2008","YR","Years","0","Units",,,29.3,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2009","2009","YR","Years","0","Units",,,29.4,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2010","2010","YR","Years","0","Units",,,29.5,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2011","2011","YR","Years","0","Units",,,29.7,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2012","2012","YR","Years","0","Units",,,29.8,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2013","2013","YR","Years","0","Units",,,30,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2014","2014","YR","Years","0","Units",,,30.2,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2015","2015","YR","Years","0","Units",,,30.3,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2016","2016","YR","Years","0","Units",,,30.4,,
"GBR","United Kingdom","TOTAL","Total","FAM2","Mean age of women at childbirth","2017","2017","YR","Years","0","Units",,,30.5,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","1993","1993","YR","Years","0","Units",,,27.6,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","1994","1994","YR","Years","0","Units",,,27.8,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","1995","1995","YR","Years","0","Units",,,27.9,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","1996","1996","YR","Years","0","Units",,,28.1,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","1997","1997","YR","Years","0","Units",,,28.3,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","1998","1998","YR","Years","0","Units",,,28.5,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","1999","1999","YR","Years","0","Units",,,28.7,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2000","2000","YR","Years","0","Units",,,29,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2001","2001","YR","Years","0","Units",,,29.3,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2002","2002","YR","Years","0","Units",,,29.5,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2003","2003","YR","Years","0","Units",,,29.7,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2004","2004","YR","Years","0","Units",,,30,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2005","2005","YR","Years","0","Units",,,30.2,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2006","2006","YR","Years","0","Units",,,30.4,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2007","2007","YR","Years","0","Units",,,30.6,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2008","2008","YR","Years","0","Units",,,30.8,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2009","2009","YR","Years","0","Units",,,31,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2010","2010","YR","Years","0","Units",,,31.3,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2011","2011","YR","Years","0","Units",,,31.4,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2012","2012","YR","Years","0","Units",,,31.6,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2013","2013","YR","Years","0","Units",,,31.8,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2014","2014","YR","Years","0","Units",,,32,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2015","2015","YR","Years","0","Units",,,32.2,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2016","2016","YR","Years","0","Units",,,32.4,,
"KOR","Korea","TOTAL","Total","FAM2","Mean age of women at childbirth","2017","2017","YR","Years","0","Units",,,32.6,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2003","2003","_1000","Per thousand","0","Units",,,7.1,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2004","2004","_1000","Per thousand","0","Units",,,9.2,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2005","2005","_1000","Per thousand","0","Units",,,9.5,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2006","2006","_1000","Per thousand","0","Units",,,9.2,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2007","2007","_1000","Per thousand","0","Units",,,9.1,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2008","2008","_1000","Per thousand","0","Units",,,9,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2009","2009","_1000","Per thousand","0","Units",,,8.2,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2010","2010","_1000","Per thousand","0","Units",,,8,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2011","2011","_1000","Per thousand","0","Units",,,8,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2012","2012","_1000","Per thousand","0","Units",,,8,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2013","2013","_1000","Per thousand","0","Units",,,7.9,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2014","2014","_1000","Per thousand","0","Units",,,7.8,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2015","2015","_1000","Per thousand","0","Units",,,7.7,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2016","2016","_1000","Per thousand","0","Units",,,7.5,,
"TUR","Turkey","TOTAL","Total","FAM4A","Crude marriage rate (marriages per 1000 people)","2017","2017","_1000","Per thousand","0","Units",,,7.1,,
